feature,mean_abs_shap
us10y_chg_21d,0.017408343223507202
us10y_level,0.014478827089486475
mom_12m,0.00849325893898399
mom_6m,0.007469480409029522
india_vix_level,0.0066355356100292855
india_vix_z20,0.006467508761948132
macd,0.006460861952134232
vol_60d,0.006430521854055879
usdinr_ret_21d,0.006354488655220671
nifty_over_ma50,0.005878275543041592
mkt_vol_20d,0.00497340740474188
gold_ret_21d,0.0048345116114454495
nifty_ret_21d,0.004545764311687587
sentiment_ma21,0.0037820784148498454
px_over_ma50,0.003320197764811029
mom_3m,0.002687350883100784
px_over_ma200,0.0026591513359654774
mkt_mom_21d,0.002184290149710026
cs_rank_vol_60d,0.0018806563604398712
sentiment_ma5,0.0015766375589612823
ret_skew_60d,0.0015263598884591827
sentiment_mean,0.0014684465163975061
macd_hist,0.001398797811675511
cs_rank_mom_6m,0.0013215834580556783
vol_20d,0.0013207074509865027
mom_1m,0.00126798383278639
mkt_disp,0.0011363040275319829
ret_kurt_60d,0.0009212888233969457
ret_21d,0.000809978984488163
px_over_ma20,0.0006246683824319081
nifty_ret_1d,0.0004973480417642637
cs_rank_mom_1m,0.0004887411750160469
mkt_ret,0.0004524941264268467
ret_5d,0.0003359285652995567
usdinr_ret_1d,0.0002738923165240263
rsi_14,0.00023161006664934797
cs_rank_mom_3m,0.00021719656204477727
ret_1d,0.00018959248910537833
cs_rank_rsi_14,0.00013879216244405213
cs_rank_vol_20d,0.000137100473083171
vol_z_20d,4.474817518067092e-05
sentiment_n,1.3041670166737867e-06
